text,HELLO,OK,COMPLIMENT,CONNECT_TO_ADMIN,EXPLAIN_BALANCE,GUIDE_SEARCH_AUCTION,GUIDE_BIDDING,GUIDE_CREATE_AUCTION,GUIDE_CHECK_TIME_LEFT,GUIDE_ANTI_SNIPING,UNKNOWN
tìm phiên bán laptop khi tôi đang dùng app,0,0,0,0,0,1,0,0,0,0,0
mình chào bạn giúp tôi,1,0,0,0,0,0,0,0,0,0,0
xnni chao voi a,1,0,0,0,0,0,0,0,0,0,0
chào buổi sáng trên màn hình hiện tại,1,0,0,0,0,0,0,0,0,0,0
giá hợp lệ là gì khi bid cho nngưi mới,0,0,0,0,0,0,1,0,0,0,0
câu trả lời đủ rồi,0,1,0,0,0,0,0,0,0,0,0
trợ lý hữu ích quá khi tôi đang dùng app,0,0,1,0,0,0,0,0,0,0,0
làm sao biết đặt giá thành công nhé,0,0,0,0,0,0,1,0,0,0,0
số dư là gì,0,0,0,0,1,0,0,0,0,0,0
hd tìm phòng đấu giá khi tôi đang dùng app,0,0,0,0,0,1,0,0,0,0,0
phản hồi rất ổn nói ngắn gọn thôi,0,0,1,0,0,0,0,0,0,0,0
de toi thu trong he thong ...,0,1,0,0,0,0,0,0,0,0,0
cách tham gia đặt giá trên màn hình hiện tại,0,0,0,0,0,0,1,0,0,0,0
xin chao đc ko,1,0,0,0,0,0,0,0,0,0,0
dịch câu này sang tiếng Anh,0,0,0,0,0,0,0,0,0,0,1
gui phien de admin duyet noi ngan gon thoi ...,0,0,0,0,0,0,0,1,0,0,0
hướng dẫn bidder tham gia phiên và kiểm tra time left,0,0,0,0,0,0,1,0,1,0,0
giải thích dễ hiểu khi tôi đang dùng app,0,0,1,0,0,0,0,0,0,0,0
de toi thu tren man hin hiien tai,0,1,0,0,0,0,0,0,0,0,0
seller muốn đăng sp với ạ,0,0,0,0,0,0,0,1,0,0,0
de toi thu tren man hinh hien tai,0,1,0,0,0,0,0,0,0,0,0
luật chống đặt giá phút cuối nói ngắn gọn thôi,0,0,0,0,0,0,0,0,0,1,0
vì sao thời gian đấu giá tăng thêm nhé,0,0,0,0,0,0,0,0,0,1,0
hey assistant kèm theo hướng dẫn tìm phiên đang mở,1,0,0,0,0,1,0,0,0,0,0
khi nào phiên kết thúc giúp tôi,0,0,0,0,0,0,0,0,1,0,0
luật chống đặt giá phút cuối với ạ,0,0,0,0,0,0,0,0,0,1,0
cho hỏi toi can tang gia hien tai tren man hinh hien tai,0,0,0,0,0,0,1,0,0,0,0
tôi muốn gặp tư vấn viên cho người mới,0,0,0,1,0,0,0,0,0,0,0
bạn trả lời tốt sau đó kết nối admin giúp tôi,0,0,1,1,0,0,0,0,0,0,0
help kết nối admin giúp tôi trong hệ thống ...,0,0,0,1,0,0,0,0,0,0,0
thiết lập bước giá như thế nào khi tôi đang dùng app,0,0,0,0,0,0,0,1,0,0,0
seller lobby tạo phiên ở đâu trong hệ thống,0,0,0,0,0,0,0,1,0,0,0
giải thích số dư tài khoản trên màn hình hiện tại,0,0,0,0,1,0,0,0,0,0,0
chuyển tôi đến tư vấn viên trong hệ thống,0,0,0,1,0,0,0,0,0,0,0
rõ rồi rồi làm sao tạo phiên đấu giá,0,1,0,0,0,0,0,1,0,0,0
bạn đang online không kèm theo hướng dẫn tìm phien đang mở,1,0,0,0,0,1,0,0,0,0,0
hi trợ lý cho người mới,1,0,0,0,0,0,0,0,0,0,0
tôi hài lòng trên màn hình hiện tại,0,0,1,0,0,0,0,0,0,0,0
gặp bộ phận chăm sóc khách hàng khi tôi đang dùng app,0,0,0,1,0,0,0,0,0,0,0
tôi cần người xử lý nhé,0,0,0,1,0,0,0,0,0,0,0
caau tra loi rat de hieu sau do chatbot chua giai quyet duo,0,0,1,1,0,0,0,0,0,0,0
chào buổi sáng rồi admin có thể hỗ trợ không,1,0,0,1,0,0,0,0,0,0,0
hỗ trợ nhanh thật nói ngắn gọn thôi,0,0,1,0,0,0,0,0,0,0,0
số dư dùng để làm gì cho người mới,0,0,0,0,1,0,0,0,0,0,0
auction còn bao lâu cho người mới,0,0,0,0,0,0,0,0,1,0,0
chatbot chưa giải quyết được và cần nhập gìì khi đặ giá,0,0,0,1,0,0,1,0,0,0,0
sao tự nhiên cộng thêm giờ,0,0,0,0,0,0,0,0,0,1,0
bid bị từ chối thì kiểm tra gì,0,0,0,0,0,0,1,0,0,0,0
xem thời gian còn lại nói ngắn gọn thôi,0,0,0,0,0,0,0,0,1,0,0
này giai thich de hieu toi hoi chua ro,0,0,1,0,0,0,0,0,0,0,0
số tiền còn lại trong ví là gì xong rồi tìm phien bán laptop,0,0,0,0,1,1,0,0,0,0,0
create auction room thế nào trên màn hình hiện tại,0,0,0,0,0,0,0,1,0,0,0
bạn đang online không cho người mới,1,0,0,0,0,0,0,0,0,0,0
giải thích chống sniping trong hệ thống,0,0,0,0,0,0,0,0,0,1,0
ổn rồi đồng thời giá hợp lệ là gì khi bid,0,1,0,0,0,0,1,0,0,0,0
khi nao phien ket thuc trong he thong,0,0,0,0,0,0,0,0,1,0,0
gửi phiên để admin duyệt trên màn hình hiện tại,0,0,0,0,0,0,0,1,0,0,0
luật chống đặt giá phút cuối khi tôi đang dùng app,0,0,0,0,0,0,0,0,0,1,0
chào hệ thống và gặp bộ phận chăm sóc khách hàng,1,0,0,1,0,0,0,0,0,0,0
hướng dẫn bidder tham gia phiên giúp tôi,0,0,0,0,0,0,1,0,0,0,0
được rồi nhé,0,1,0,0,0,0,0,0,0,0,0
mình hỏi ngu tí xem thời hạn phiên đấu giá trên màn hình hiện tại,0,0,0,0,0,0,0,0,1,0,0
lobby có những phiên nào trong hệ thống,0,0,0,0,0,1,0,0,0,0,0
ok giúp tôi,0,1,0,0,0,0,0,0,0,0,0
lọc sản phẩm đang đấu giá nhé,0,0,0,0,0,1,0,0,0,0,0
tại sao cần có số dư khi tôi đang dùng app,0,0,0,0,1,0,0,0,0,0,0
hơi gấp vi sao countdown nhay them thoi gian giup toi,0,0,0,0,0,0,0,0,0,1,0
kiểm tra giờ kết thúc phien tôi hơi chưa rõ,0,0,0,0,0,0,0,0,1,0,0
pls so du co phai tien kha dung khong trong he thong,0,0,0,0,1,0,0,0,0,0,0
ban tra loi tot nhe gấp,0,0,1,0,0,0,0,0,0,0,0
bắt đầu tư vấn giúp tôi trong hệ thống,1,0,0,0,0,0,0,0,0,0,0
làm sao biết đặt giá thành công nói ngắn gọn thôi,0,0,0,0,0,0,1,0,0,0,0
hướng dẫn tìm phiên đang mở với ạ,0,0,0,0,0,1,0,0,0,0,0
mình hỏi ngu tí can ho tro truc tiep huhu,0,0,0,1,0,0,0,0,0,0,0
không rõ lắm ok thanks,0,1,0,0,0,0,0,0,0,0,0
tại sao cần có số dư trong hệ thống,0,0,0,0,1,0,0,0,0,0,0
trải nghiệm khá tốt tôi hơi chưa rõ,0,0,1,0,0,0,0,0,0,0,0
xem phien sắp kết thúc nói ngắn gọn thôi,0,0,0,0,0,1,0,0,0,0,0
liên hệ người phụ trách giúp tôi kèm theo cần thông tin gì để tạo phiên,0,0,0,1,0,0,0,1,0,0,0
thời tiết ngày mai sao cho người mới,0,0,0,0,0,0,0,0,0,0,1
chào bạn kèm theo tôi cần tăng giá hiện tại,1,0,0,0,0,0,1,0,0,0,0
làm sao biết dat gia thành công cho người mới,0,0,0,0,0,0,1,0,0,0,0
gia hạn tự động khi nào xảy ra cho người mới,0,0,0,0,0,0,0,0,0,1,0
bắt đầu tư vấn giúp tôi giúp tôi,1,0,0,0,0,0,0,0,0,0,0
auto extend trong đấu giá là gì trên màn hình hiện tại,0,0,0,0,0,0,0,0,0,1,0
cần hỗ trợ trực tiếp và hướng dẫn đăng sản phẩm đấu giá,0,0,0,1,0,0,0,1,0,0,0
help huong dan xem coutndown khi tooi dang dung app,0,0,0,0,0,0,0,0,1,0,0
hôm nay trời đẹp trên màn hình hiện tại ạ,0,0,0,0,0,0,0,0,0,0,1
vậy là được đồng thời cách mở phòng đấu giá mới,0,1,0,0,0,0,0,1,0,0,0
tìm phiên theo tên sản phẩm nhé,0,0,0,0,0,1,0,0,0,0,0
cơ chế gia hạn phiên cuối giờ nói ngắn gọn thôi,0,0,0,0,0,0,0,0,0,1,0
cách mở phòng đấu giá mới trên màn hình hiện tại,0,0,0,0,0,0,0,1,0,0,0
tạm ổn sau đó hướng dẫn bidder tham gia phiên,0,1,0,0,0,0,1,0,0,0,0
tìm phiên bán laptop tôi hơi chưa rõ,0,0,0,0,0,1,0,0,0,0,0
hướng dẫn tìm phiên đang mở nói ngắn gọn thôi,0,0,0,0,0,1,0,0,0,0,0
xem phiên sắp kết thúc sau đó hướng dẫn tôi bid,0,0,0,0,0,1,1,0,0,0,0
create auction room the nao tren man hinh hien tai thanks,0,0,0,0,0,0,0,1,0,0,0
tim phien dau gia noi ngan gon thoi,0,0,0,0,0,1,0,0,0,0,0
gửi phiên để ad duyệt nhé,0,0,0,0,0,0,0,1,0,0,0
ad ơi trợ lý hữu ích quá rồi anti sniping hoạt động thế nào,0,0,1,0,0,0,0,0,0,1,0
chao buoi sang xong roi can nhap gi khi dat gia,1,0,0,0,0,0,1,0,0,0,0
cách tham gia đặt giá đồng thời còn mấy phút nữa kết thúc,0,0,0,0,0,0,1,0,1,0,0
dịch câu này sang tiếng Anh với ạ,0,0,0,0,0,0,0,0,0,0,1
mình hỏi ngu tí cho toi so dien thoai ho tro,0,0,0,1,0,0,0,0,0,0,0
mình hỏi ngu tí không cần giải thích thêm nói ngắn gọn thôi,0,1,0,0,0,0,0,0,0,0,0
bid bị từ chối thì kiểm tra gì xong rồi đếm ngược nằm ở chỗ nào,0,0,0,0,0,0,1,0,1,0,0
số tiền còn lại trong ví là gì giúp tôi,0,0,0,0,1,0,0,0,0,0,0
đã hiểu và hướng dẫn đăng sản phẩm đấu giá,0,1,0,0,0,0,0,1,0,0,0
xin chào trong hệ thống,1,0,0,0,0,0,0,0,0,0,0
xem phien sap ket thuc giup toi ???,0,0,0,0,0,1,0,0,0,0,0
chuyển tôi đến tư vấn viên cho người mới,0,0,0,1,0,0,0,0,0,0,0
bam nut nao de gui gia noi ngan gon thoi plz,0,0,0,0,0,0,1,0,0,0,0
giải thích dễ hiểu,0,0,1,0,0,0,0,0,0,0,0
làm sao tạo phiên đấu giá xong rồi phiên này còn bao lâu,0,0,0,0,0,0,0,1,1,0,0
cần thông tin gì để tạo phiên tôi hơi chưa rõ,0,0,0,0,0,0,0,1,0,0,0
cho tôi biết khái niệm số dư nói ngắn gọn thôi,0,0,0,0,1,0,0,0,0,0,0
y nghia cua so du trong dau gia khi toi dang dung app,0,0,0,0,1,0,0,0,0,0,0
gửi phiên để admin duyệt giúp tôi,0,0,0,0,0,0,0,1,0,0,0
