title,organization,description,seller_rating,seller_completed_rating,seller_cancel_rate,minimum_join_amount,bid_step,start_price,start_price_log,duration_minutes,extension_seconds,start_hour,day_of_week,is_weekend,targeted_risk_type,description_style,review_status,auto_approve
Máy phát điện Cummins 150kVA,Bếp công nghiệp Sao Việt,"máy phát điện cummins 150kva còn chạy, test tại xưởng được, phụ kiện chính để cùng máy. hơi bụi do để kho nhưng thông số chính có đủ. Tuy nhiên phiên này chuyển manual_review vì chỉ số hoàn tất hoặc lịch sử giao dịch của người bán chưa đủ chắc; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 21h ngày 5.",4.32,0.87,0.06,27831000.0,9277000.0,463846943.54,19.955065,120,45,21,5,1,seller_risk,casual,manual_review,0
Suzuki Carry Pro 2020 - có ảnh thật,Ban quản lý tòa nhà Hòa Bình,"Suzuki Carry Pro 2020 - có ảnh thật được mô tả ngoại hình gọn, vận hành ổn và có thể xem trực tiếp tại Ban quản lý tòa nhà Hòa Bình. Hồ sơ xe hoặc phạm vi giấy tờ bàn giao chưa nêu thành danh mục rõ ràng, vì vậy không nên auto approve dù seller có điểm tốt. phần bàn giao cuối cùng chưa được liệt kê thành danh mục riêng.",4.36,0.85,0.06,15018000.0,9557000.0,136526532.91,18.73203,180,90,9,4,0,unclear_origin,normal,manual_review,0
Xe tải Isuzu QKR thùng kín,Đơn vị vận hành khu công nghiệp,"Xe tải Isuzu QKR thùng kín được mô tả ngoại hình gọn, vận hành ổn và có thể xem trực tiếp tại Đơn vị vận hành khu công nghiệp. Hồ sơ xe hoặc phạm vi giấy tờ bàn giao chưa nêu thành danh mục rõ ràng, vì vậy không nên auto approve dù seller có điểm tốt. bài đăng khá chỉn chu nhưng còn khoảng trống về chứng từ.",4.37,0.86,0.07,36856000.0,12285000.0,614270373.84,20.235946,240,30,17,6,1,condition_unclear,professional,manual_review,0
Máy dán cạnh Homag,Xưởng gỗ Gia Hưng,"Máy dán cạnh Homag bên Xưởng gỗ Gia Hưng, người bán ghi để lại vì ít dùng. Máy đã chạy thử với ván mẫu, lưỡi và phụ kiện kèm theo được nói rõ. Bài đăng do Xưởng gỗ Gia Hưng đưa lên, phần còn lại kiểm tra theo hồ sơ khi xem hàng. Tuy nhiên phiên này chuyển manual_review vì một phần thông tin cốt lõi vẫn cần admin xác nhận; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 20h ngày 1.",4.35,0.9,0.03,16862000.0,9368000.0,187354758.46,19.048514,360,30,20,1,0,missing_information,casual,manual_review,0
Máy điện tim 12 kênh GE,Cửa hàng dụng cụ Tân Lợi,"máy điện tim 12 kênh ge là trợ cụ/thiết bị thông thường, còn dùng ok, phụ kiện có ghi rõ, không kèm cam kết điều trị. xem tại shop là test được. Tuy nhiên phiên này chuyển manual_review vì thiết bị thuộc nhóm cần kiểm tra nguồn gốc, phụ kiện và phạm vi sử dụng; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 11h ngày 4.",4.36,0.91,0.04,71452000.0,42871000.0,714517822.75,20.387118,720,45,11,4,0,regulated_item_risk,spam,manual_review,0
Chỗ đậu xe chung cư gần thang máy,Xưởng cơ khí Thành Công,"chỗ đậu xe chung cư gần thang máy có giờ dùng rõ, vị trí rõ, phí kèm theo ghi trong phiếu đặt. ai lấy thì hẹn lịch, nội quy có sẵn. Tuy nhiên phiên này chuyển manual_review vì phạm vi quyền sử dụng, thời hạn hoặc điều kiện bàn giao cần đối chiếu hồ sơ; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 4h ngày 6.",4.37,0.92,0.05,6350000.0,2117000.0,105838446.97,18.477424,120,60,4,6,1,ownership_or_usage_right_unclear,messy,manual_review,0
Bộ dụng cụ sửa xe Yato,Trung tâm máy công trình cũ,"Bộ dụng cụ sửa xe Yato có mô tả tương đối đầy đủ về tình trạng và cách xem hàng. Dù vậy số lượng phụ kiện, kích thước hoặc phạm vi bàn giao vẫn chưa rõ ở vài điểm quan trọng. phần bàn giao cuối cùng chưa được liệt kê thành danh mục riêng.",4.41,0.9,0.03,1616000.0,969000.0,16156249.73,16.597818,180,30,16,4,0,missing_information,professional,manual_review,0
Máy hàn que Jasic ARC 200 - có ảnh thật,Phòng thiết bị bệnh viện tư,"máy hàn que jasic arc 200 - có ảnh thật còn dùng tốt, tình trạng rõ, phụ kiện chính đủ. viết nhanh hơi lộn xộn nhưng xem là kiểm được ngay. Tuy nhiên phiên này chuyển manual_review vì một phần thông tin cốt lõi vẫn cần admin xác nhận; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 11h ngày 1.",4.39,0.94,0.07,1357000.0,678000.0,16956612.29,16.646168,240,30,11,1,0,missing_information,spam,manual_review,0
Biệt thự nghỉ dưỡng ven biển - full bộ,Trung tâm máy công trình cũ,"biệt thự nghỉ dưỡng ven biển - full bộ giấy tờ có sẵn, diện tích ghi rõ, hợp đồng và điều kiện bàn giao xem tại văn phòng. viết hơi gấp nhưng đủ thông tin chính. Tuy nhiên phiên này chuyển manual_review vì chỉ số hoàn tất hoặc lịch sử giao dịch của người bán chưa đủ chắc; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 5h ngày 2.",4.4,0.86,0.02,678163000.0,376757000.0,7535139303.24,22.742843,360,45,5,2,0,seller_risk,messy,manual_review,0
Máy nén khí Atlas Copco GA37,Đội xe vận tải Long Hải,"Máy nén khí Atlas Copco GA37 - Đội xe vận tải Long Hải. Người bán ghi máy còn chạy, tuy vậy điều kiện tháo dỡ và phần phụ kiện kèm theo còn mơ hồ. Lịch đấu rơi vào ngày 6, người tham gia có thể hỏi thêm trước khi đặt cọc.",4.44,0.93,0.06,16616000.0,7121000.0,237377816.43,19.285164,720,90,13,6,1,document_risk,normal,manual_review,0
Quyền dùng phòng lưu trú công nhân,Công ty TNHH An Phú,"Quyền dùng phòng lưu trú công nhân do Công ty TNHH An Phú đăng đấu giá. Bài viết có vẻ hợp lệ nhưng hợp đồng lưu trú và điều kiện bàn giao chưa đủ cụ thể. Thông tin được ghi theo cách người bán cung cấp, không thêm trường ngoài dataset. Nội dung này giữ văn phong nghiêm túc nhưng vẫn theo đúng trạng thái xét duyệt của mẫu.",4.45,0.84,0.07,4424000.0,2212000.0,55297717.1,17.828242,120,30,19,6,1,document_risk,legal,manual_review,0
Căn hộ chung cư 2 phòng ngủ - có ảnh thật,Phòng thiết bị bệnh viện tư,"Căn hộ chung cư 2 phòng ngủ - có ảnh thật do Phòng thiết bị bệnh viện tư đăng đấu giá. Mô tả nhìn gọn gàng nhưng chưa nói rõ số lượng thực nhận và tình trạng từng món. Người xem được hẹn ở khung 9h, thông tin này chỉ dùng để đối chiếu thêm. Nội dung này giữ văn phong nghiêm túc nhưng vẫn theo đúng trạng thái xét duyệt của mẫu.",4.46,0.85,0.08,256247000.0,142360000.0,2847190660.93,21.769599,180,45,9,2,0,document_risk,legal,manual_review,0
Máy nén khí mini Pegasus - có ảnh thật,Đấu giá Việt Asset,"Máy nén khí mini Pegasus - có ảnh thật có mô tả tương đối đầy đủ về tình trạng và cách xem hàng. Dù vậy số lượng phụ kiện, kích thước hoặc phạm vi bàn giao vẫn chưa rõ ở vài điểm quan trọng. một vài chi tiết chỉ được xác nhận khi xem trực tiếp.",4.47,0.86,0.09,1737000.0,1042000.0,17365894.52,16.670019,240,60,18,1,0,condition_unclear,normal,manual_review,0
Máy khoan bản lề tự động,Đấu giá Việt Asset,"máy khoan bản lề tự động còn chạy, test tại xưởng được, phụ kiện chính để cùng máy. hơi bụi do để kho nhưng thông số chính có đủ. Tuy nhiên phiên này chuyển manual_review vì một phần thông tin cốt lõi vẫn cần admin xác nhận; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 9h ngày 6.",4.45,0.91,0.07,53473000.0,29707000.0,594149130.37,20.202641,360,60,9,6,1,missing_information,spam,manual_review,0
Máy xúc đào Komatsu PC200,Cửa hàng dụng cụ Tân Lợi,"Máy xúc đào Komatsu PC200 do Cửa hàng dụng cụ Tân Lợi đăng đấu giá. Người bán ghi máy còn chạy, tuy vậy điều kiện tháo dỡ và phần phụ kiện kèm theo còn mơ hồ. Mức cọc 122.461.000 và bước giá 40.820.000 đã được ghi riêng trong phiên. Nội dung này giữ văn phong nghiêm túc nhưng vẫn theo đúng trạng thái xét duyệt của mẫu.",4.49,0.88,0.03,122461000.0,40820000.0,2041022177.93,21.436717,720,30,21,0,0,missing_information,professional,manual_review,0
Máy khoan bản lề tự động - có ảnh thật,Bếp công nghiệp Sao Việt,"Máy khoan bản lề tự động - có ảnh thật có thông tin vận hành, phụ kiện chính và địa điểm kiểm tra. Mô tả khá kỹ thuật nhưng chưa có đủ căn cứ về tải thực tế, lịch bảo trì hoặc danh mục phụ kiện theo máy. một vài chi tiết chỉ được xác nhận khi xem trực tiếp.",4.5,0.89,0.04,33388000.0,14309000.0,476975608.21,19.982976,120,45,8,5,1,condition_unclear,normal,manual_review,0
Máy xông hơi ướt spa,Đấu giá Việt Asset,"Máy xông hơi ướt spa - Đấu giá Việt Asset. Bài viết khá chỉn chu, tuy vậy nguồn gốc thiết bị và điều kiện thử máy còn cần kiểm tra. Giá khởi điểm 213.750.670 được giữ lại để so với mặt bằng cùng nhóm.",4.51,0.9,0.05,17100000.0,8550000.0,213750669.73,19.180321,180,60,7,5,1,document_risk,normal,manual_review,0
Máy hàn que Jasic ARC 200 - full bộ,Ban quản lý tòa nhà Hòa Bình,"máy hàn que, dòng hàn ổn, kèm kẹp mass, moi don so bo, thong tin theo ben giao, may chay deu, xem ok thi dat gia, phu kien nhu hinh Tuy nhiên phiên này chuyển manual_review vì chỉ số hoàn tất hoặc lịch sử giao dịch của người bán chưa đủ chắc; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 21h ngày 2.",4.03,0.67,0.14,537343.55,457872.24,9346516.19,16.050514,120,60,21,2,0,seller_risk,messy,manual_review,0
Giường spa điện 3 motor,Văn phòng môi giới địa phương,"Giường spa điện 3 motor có mô tả tương đối đầy đủ về tình trạng và cách xem hàng. Dù vậy số lượng phụ kiện, kích thước hoặc phạm vi bàn giao vẫn chưa rõ ở vài điểm quan trọng. người xem cần đối chiếu tại chỗ trước khi quyết định.",4.53,0.92,0.07,77000.0,46000.0,774422.08,13.559872,360,30,23,6,1,missing_information,professional,manual_review,0
Tủ mát Hoshizaki 2 cánh - sẵn xem,Thanh lý kho miền Nam,"Tủ mát Hoshizaki 2 cánh - sẵn xem nhìn còn sử dụng được, tình trạng vệ sinh và phụ kiện chính được mô tả tương đối rõ. Tuy nhiên lịch bảo trì, nguồn gốc hoặc phạm vi khay/phụ kiện đi kèm chưa được xác nhận đầy đủ. thông tin nghe hợp lý nhưng vẫn cần hồ sơ gốc làm căn cứ.",4.54,0.93,0.08,98373000.0,62601000.0,894297334.72,20.611549,720,45,14,3,0,document_risk,normal,manual_review,0
Toyota Vios 2019 - có ảnh thật,Phòng thiết bị bệnh viện tư,"Toyota Vios 2019 - có ảnh thật được mô tả ngoại hình gọn, vận hành ổn và có thể xem trực tiếp tại Phòng thiết bị bệnh viện tư. Hồ sơ xe hoặc phạm vi giấy tờ bàn giao chưa nêu thành danh mục rõ ràng, vì vậy không nên auto approve dù seller có điểm tốt. một vài chi tiết chỉ được xác nhận khi xem trực tiếp.",4.55,0.84,0.09,18915000.0,6305000.0,315247683.84,19.568869,120,60,8,3,0,condition_unclear,normal,manual_review,0
Quyền sử dụng chỗ đậu xe tầng B2,Xưởng cơ khí Thành Công,"Quyền sử dụng chỗ đậu xe tầng B2 do Xưởng cơ khí Thành Công đăng đấu giá. Mô tả lịch sự nhưng thời hạn sử dụng và điều kiện đặt cọc vẫn cần admin kiểm tra. Bài đăng do Xưởng cơ khí Thành Công đưa lên, phần còn lại kiểm tra theo hồ sơ khi xem hàng. Nội dung này giữ văn phong nghiêm túc nhưng vẫn theo đúng trạng thái xét duyệt của mẫu.",4.56,0.85,0.1,4067000.0,1743000.0,58093520.41,17.877565,180,90,19,6,1,document_risk,legal,manual_review,0
Máy đo 3D CMM Mitutoyo,Thanh lý kho miền Nam,"Máy đo 3D CMM Mitutoyo còn dùng ok ok, ai cần xem trực tiếp, đồ đúng như hình. Máy có thể kiểm tra vận hành tại xưởng, phụ kiện đi kèm được nêu rõ. Lịch đấu rơi vào ngày 2, người tham gia có thể hỏi thêm trước khi đặt cọc. Tuy nhiên phiên này chuyển manual_review vì hồ sơ, thông số vận hành hoặc phạm vi bàn giao chưa đủ để tự động duyệt; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 21h ngày 2.",4.54,0.91,0.04,61666000.0,30833000.0,770825335.63,20.462972,240,20,21,2,0,document_risk,spam,manual_review,0
Yamaha Exciter 155 VVA,Thanh lý kho miền Nam,"Yamaha Exciter 155 VVA được mô tả ngoại hình gọn, vận hành ổn và có thể xem trực tiếp tại Thanh lý kho miền Nam. Hồ sơ xe hoặc phạm vi giấy tờ bàn giao chưa nêu thành danh mục rõ ràng, vì vậy không nên auto approve dù seller có điểm tốt. người xem cần đối chiếu tại chỗ trước khi quyết định.",4.58,0.87,0.04,30147000.0,16748000.0,334967921.03,19.629545,360,45,19,2,0,condition_unclear,normal,manual_review,0
Bộ bàn ghế sân vườn teak,Đội xe vận tải Long Hải,"Bộ bàn ghế sân vườn teak bên Đội xe vận tải Long Hải, người bán ghi để lại vì ít dùng. Người đăng mô tả rõ tình trạng sử dụng, có hẹn xem tại nhà trong khung giờ đấu giá. Thông tin được ghi theo cách người bán cung cấp, không thêm trường ngoài dataset. Tuy nhiên phiên này chuyển manual_review vì khung giờ, thời lượng hoặc điều kiện kiểm tra còn chưa phù hợp với quy tắc an toàn; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 1h ngày 6.",4.56,0.93,0.06,1811000.0,1086000.0,18107523.98,16.711838,720,45,1,6,1,condition_unclear,casual,manual_review,0
Máy trộn bê tông 350L - có ảnh thật,Phòng vật tư thanh lý,"Máy trộn bê tông 350L - có ảnh thật có thông tin vận hành, phụ kiện chính và địa điểm kiểm tra. Mô tả khá kỹ thuật nhưng chưa có đủ căn cứ về tải thực tế, lịch bảo trì hoặc danh mục phụ kiện theo máy. người xem cần đối chiếu tại chỗ trước khi quyết định.",4.6,0.89,0.06,307101000.0,195428000.0,2791827007.49,21.749962,120,90,7,3,0,missing_information,normal,manual_review,0
Quyền thuê mặt bằng tầng trệt - full bộ,Ban quản lý tòa nhà Hòa Bình,"Quyền thuê mặt bằng tầng trệt - full bộ được giới thiệu với vị trí và công năng khá rõ. Người bán nêu có hồ sơ liên quan đến quyền sử dụng hoặc quyền thuê. Diện tích, thời hạn sử dụng và điều kiện bàn giao được mô tả ở mức tổng quát. Tuy nhiên phần tình trạng pháp lý, phụ lục hợp đồng hoặc phạm vi chuyển nhượng chưa đủ căn cứ để tự duyệt. Phần bàn giao cuối cùng chưa được liệt kê thành danh mục riêng.",4.61,0.9,0.07,1077273000.0,359091000.0,17954542105.29,23.611109,180,30,8,0,0,missing_information,legal,manual_review,0
Máy chạy bộ Life Fitness T5 - có ảnh thật,Cửa hàng dụng cụ Tân Lợi,"máy chạy bộ life fitness t5 - có ảnh thật còn dùng tốt, tình trạng rõ, phụ kiện chính đủ. viết nhanh hơi lộn xộn nhưng xem là kiểm được ngay. Tuy nhiên phiên này chuyển manual_review vì chỉ số hoàn tất hoặc lịch sử giao dịch của người bán chưa đủ chắc; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 19h ngày 6.",4.59,0.87,0.03,21001000.0,10500000.0,262511383.57,19.385805,240,30,19,6,1,seller_risk,casual,manual_review,0
Máy chấn tôn Yawei 110T,Kho thu hồi thiết bị,"Máy chấn tôn Yawei 110T có thông tin vận hành, phụ kiện chính và địa điểm kiểm tra. Mô tả khá kỹ thuật nhưng chưa có đủ căn cứ về tải thực tế, lịch bảo trì hoặc danh mục phụ kiện theo máy. người xem cần đối chiếu tại chỗ trước khi quyết định.",4.63,0.92,0.09,23640000.0,11820000.0,295493827.23,19.504159,360,60,7,6,1,document_risk,normal,manual_review,0
Máy cắt cỏ Husqvarna LC140,Đơn vị vận hành khu công nghiệp,"Máy cắt cỏ Husqvarna LC140 có mô tả tương đối đầy đủ về tình trạng và cách xem hàng. Dù vậy số lượng phụ kiện, kích thước hoặc phạm vi bàn giao vẫn chưa rõ ở vài điểm quan trọng. thông tin nghe hợp lý nhưng vẫn cần hồ sơ gốc làm căn cứ.",4.64,0.93,0.1,936000.0,520000.0,10403392.55,16.157643,720,90,19,1,0,document_risk,normal,manual_review,0
Máy thổi lá Stihl BG56,Ngân hàng xử lý tài sản,"Máy thổi lá Stihl BG56 có mô tả tương đối đầy đủ về tình trạng và cách xem hàng. Dù vậy số lượng phụ kiện, kích thước hoặc phạm vi bàn giao vẫn chưa rõ ở vài điểm quan trọng. người xem cần đối chiếu tại chỗ trước khi quyết định.",4.65,0.84,0.03,104000.0,62000.0,1036576.58,13.851434,120,30,16,2,0,condition_unclear,normal,manual_review,0
Nhà phố mặt tiền kinh doanh,Xưởng gỗ Gia Hưng,"Nhà phố mặt tiền kinh doanh do Xưởng gỗ Gia Hưng đăng đấu giá. Mô tả nhìn gọn gàng nhưng chưa nói rõ số lượng thực nhận và tình trạng từng món. Người xem được hẹn ở khung 12h, thông tin này chỉ dùng để đối chiếu thêm. Nội dung này giữ văn phong nghiêm túc nhưng vẫn theo đúng trạng thái xét duyệt của mẫu.",4.66,0.85,0.04,190875000.0,121466000.0,1735225358.08,21.274403,180,45,12,6,1,ownership_or_usage_right_unclear,legal,manual_review,0
Máy mài Bosch GWS 900,Xưởng cơ khí Thành Công,"Máy mài Bosch GWS 900 có mô tả tương đối đầy đủ về tình trạng và cách xem hàng. Dù vậy số lượng phụ kiện, kích thước hoặc phạm vi bàn giao vẫn chưa rõ ở vài điểm quan trọng. bài đăng khá chỉn chu nhưng còn khoảng trống về chứng từ.",4.67,0.86,0.05,152000.0,51000.0,2540029.62,14.747686,240,60,20,3,0,document_risk,normal,manual_review,0
Shophouse khu thương mại - sẵn xem,Xưởng cơ khí Thành Công,"Shophouse khu thương mại - sẵn xem được giới thiệu với vị trí và công năng khá rõ. Người bán nêu có hồ sơ liên quan đến quyền sử dụng hoặc quyền thuê. Diện tích, thời hạn sử dụng và điều kiện bàn giao được mô tả ở mức tổng quát. Tuy nhiên phần tình trạng pháp lý, phụ lục hợp đồng hoặc phạm vi chuyển nhượng chưa đủ căn cứ để tự duyệt. Phần bàn giao cuối cùng chưa được liệt kê thành danh mục riêng.",4.68,0.87,0.06,1022467000.0,438200000.0,14606672137.3,23.404744,360,90,14,0,0,ownership_or_usage_right_unclear,legal,manual_review,0
Máy phay CNC gỗ Biesse Rover - có ảnh thật,Bếp công nghiệp Sao Việt,"Máy phay CNC gỗ Biesse Rover - có ảnh thật có thông tin vận hành, phụ kiện chính và địa điểm kiểm tra. Mô tả khá kỹ thuật nhưng chưa có đủ căn cứ về tải thực tế, lịch bảo trì hoặc danh mục phụ kiện theo máy. bài đăng khá chỉn chu nhưng còn khoảng trống về chứng từ.",4.69,0.88,0.07,5621000.0,2810000.0,70260939.46,18.067727,720,30,21,5,1,missing_information,normal,manual_review,0
Bộ dụng cụ sửa xe Yato,Kho thu hồi thiết bị,"bộ dụng cụ sửa xe yato, may chay deu, nhan tai kho trong tuan, xem ok thi dat gia, co anh that, phu kien nhu hinh Tuy nhiên phiên này chuyển manual_review vì chỉ số hoàn tất hoặc lịch sử giao dịch của người bán chưa đủ chắc; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 8h ngày 5.",3.95,0.73,0.14,191176.64,141157.1,2358252.81,14.673432,120,20,8,5,1,seller_risk,messy,manual_review,0
Biệt thự nghỉ dưỡng ven biển - sẵn xem,Kho thu hồi thiết bị,"Biệt thự nghỉ dưỡng ven biển - sẵn xem do Kho thu hồi thiết bị đăng đấu giá. Người đăng ghi đồ còn dùng tốt, tuy vậy kích thước và phạm vi bàn giao vẫn chưa đủ chắc. Mức cọc 70.378.000 và bước giá 42.227.000 đã được ghi riêng trong phiên. Nội dung này giữ văn phong nghiêm túc nhưng vẫn theo đúng trạng thái xét duyệt của mẫu.",4.71,0.9,0.09,70378000.0,42227000.0,703778250.55,20.371974,180,60,17,0,0,document_risk,legal,manual_review,0
Toyota Vios 2019,Kho thu hồi thiết bị,"toyota vios 2019, xem ok thi dat gia, nhan tai kho trong tuan, gia de mo phien vua tam, phu kien nhu hinh, may chay deu Tuy nhiên phiên này chuyển manual_review vì chỉ số hoàn tất hoặc lịch sử giao dịch của người bán chưa đủ chắc; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 17h ngày 0.",3.92,0.73,0.09,36494100.66,20775888.59,684348343.86,20.343978,720,0,17,0,0,seller_risk,messy,manual_review,0
Máy chà nhám thùng - có ảnh thật,Garage Hoàng Gia,"máy chà nhám thùng - có ảnh thật còn chạy, test tại xưởng được, phụ kiện chính để cùng máy. hơi bụi do để kho nhưng thông số chính có đủ. Tuy nhiên phiên này chuyển manual_review vì một phần thông tin cốt lõi vẫn cần admin xác nhận; người tham gia có thể đối chiếu thêm trong lịch xem khoảng 12h ngày 1.",4.25,0.89,0.02,36810000.0,20450000.0,408996430.85,19.829217,360,20,12,1,0,missing_information,messy,manual_review,0
