title,description,seller_rating,seller_completed_auctions,seller_cancel_rate,title_length,desc_length,num_positive_keywords,num_negative_keywords,start_price,start_price_log,duration_minutes,extension_seconds,start_hour,day_of_week,is_weekend,auto_approve
thinkpad x1,san pham thuoc nhom laptop. ten san pham thinkpad x1. co hoa don. co the giao dich truc tiep. thong tin trung thuc. nguon goc ro rang,3.57,102,0.306,11,133,0,1,36034828,17.4,60,15,3,2,0,0
airpods pro it dung,san pham thuoc nhom tai nghe. ten san pham airpods pro. co dac diem it dung. thong tin trung thuc. ngoai hinh dep. co the giao dich truc tiep. mo ta chi tiet. co hoa don,1.76,11,0.319,19,169,2,1,163499,12.00457,120,90,21,5,1,0
dell xps 13 nguyen seal,san pham thuoc nhom laptop. ten san pham dell xps 13. co dac diem nguyen seal. luu y gap. luu y khong bao hanh. ngoai hinh dep. co hoa don. da su dung on dinh. nguon goc ro rang,2.61,75,0.249,23,177,3,3,12924170,16.37461,90,120,12,5,1,0
hp spectre moi,san pham thuoc nhom laptop. ten san pham hp spectre. co dac diem chinh hang. co dac diem moi. da su dung on dinh. ho tro kiem tra. chat luong tot,2.77,172,0.096,14,145,3,0,31804987,17.27513,240,120,5,5,1,1
nikon d750 vo,san pham thuoc nhom camera. ten san pham nikon d750. luu y vo. luu y mo ta so sai. hinh anh that. thong tin trung thuc. mo ta chi tiet,4.94,156,0.382,13,134,0,3,4937419,15.41235,90,60,20,4,0,0
seiko 5 it dung,san pham thuoc nhom dong ho. ten san pham seiko 5. co dac diem it dung. da su dung on dinh. mo ta chi tiet,1.7,245,0.313,15,106,1,0,31225415,17.25674,30,90,7,6,1,0
asus tuf nguyen seal,san pham thuoc nhom laptop. ten san pham asus tuf. co dac diem tot. co dac diem nguyen seal. luu y cu. luu y gap. nguon goc ro rang. chat luong tot. ngoai hinh dep. thong tin trung thuc. co the giao dich truc tiep,4.36,70,0.345,20,213,3,3,35033838,17.37182,90,120,7,2,0,0
sony wh-1000xm5 dep,san pham thuoc nhom tai nghe. ten san pham sony wh-1000xm5. co dac diem dep. nguon goc ro rang. mo ta chi tiet. da su dung on dinh,3.78,180,0.096,19,130,1,0,27891313,17.14383,90,45,17,3,0,1
asus tuf it dung,san pham thuoc nhom laptop. ten san pham asus tuf. co dac diem it dung. luu y hong. co hoa don. da su dung on dinh. ngoai hinh dep. thong tin trung thuc,3.99,139,0.36,16,152,2,1,14850101,16.51352,90,30,8,3,0,1
casio gshock it dung,san pham thuoc nhom dong ho. ten san pham casio gshock. co dac diem it dung. co dac diem bao hanh. luu y cu. da su dung on dinh. hinh anh that,1.34,109,0.061,20,142,2,1,31034058,17.2506,45,15,8,3,0,0
casio gshock moi,san pham thuoc nhom dong ho. ten san pham casio gshock. co dac diem moi. luu y can sua. hinh anh that. ngoai hinh dep. thong tin trung thuc. nguon goc ro rang. co the giao dich truc tiep,3.6,199,0.431,16,186,2,2,2751677,14.82772,240,15,7,1,0,0
sony a6400 fullbox,san pham thuoc nhom camera. ten san pham sony a6400. co dac diem fullbox. co hoa don. ho tro kiem tra. nguon goc ro rang. thong tin trung thuc. da su dung on dinh,4.85,183,0.052,18,162,1,1,11040137,16.21705,60,15,18,0,0,1
fujifilm xt30 fullbox gap,san pham thuoc nhom camera. ten san pham fujifilm xt30. co dac diem fullbox. luu y gap. thong tin trung thuc. hinh anh that,2.39,109,0.298,25,123,1,2,4677608,15.3583,120,120,10,0,0,0
apple watch zin,san pham thuoc nhom dong ho. ten san pham apple watch. co dac diem zin. nguon goc ro rang. ngoai hinh dep. co hoa don. chat luong tot. da su dung on dinh,4.1,119,0.196,15,153,3,0,49108338,17.70954,120,45,10,6,1,1
samsung s23 cao cap,san pham thuoc nhom dien thoai. ten san pham samsung s23. co dac diem zin. co dac diem tot. co dac diem cao cap. ho tro kiem tra. hinh anh that. chat luong tot. da su dung on dinh. nguon goc ro rang,1.73,54,0.16,19,198,3,0,17387736,16.67128,60,45,19,5,1,1
canon eos day du phu kien,san pham thuoc nhom camera. ten san pham canon eos. co dac diem like new. co dac diem day du phu kien. chat luong tot. thong tin trung thuc. ngoai hinh dep,4.17,23,0.132,25,155,4,1,27188900,17.11832,180,30,9,5,1,1
casio gshock nguyen seal khong bao hanh,san pham thuoc nhom dong ho. ten san pham casio gshock. co dac diem nguyen seal. luu y khong bao hanh. co the giao dich truc tiep. mo ta chi tiet. ho tro kiem tra,1.48,137,0.428,39,162,2,2,46366092,17.65208,45,30,6,5,1,0
nikon d750 like new xuoc,san pham thuoc nhom camera. ten san pham nikon d750. co dac diem moi. co dac diem like new. co dac diem nguyen seal. luu y xuoc. hinh anh that. thong tin trung thuc. co hoa don. ho tro kiem tra,4.78,163,0.391,24,193,3,2,32992311,17.31179,30,15,18,2,0,1
casio gshock zin,san pham thuoc nhom dong ho. ten san pham casio gshock. co dac diem zin. da su dung on dinh. chat luong tot,1.3,161,0.309,16,107,2,0,10232227,16.14105,45,90,9,0,0,1
oppo find x5 like new,san pham thuoc nhom dien thoai. ten san pham oppo find x5. co dac diem tot. co dac diem like new. chat luong tot. co hoa don. da su dung on dinh. nguon goc ro rang. ngoai hinh dep,3.48,156,0.432,21,179,3,0,6709452,15.71903,240,30,20,1,0,1
iphone 14 pro bao hanh,san pham thuoc nhom dien thoai. ten san pham iphone 14 pro. co dac diem bao hanh. chat luong tot. thong tin trung thuc. co hoa don. hinh anh that. co the giao dich truc tiep,2.15,72,0.316,22,173,2,1,30519526,17.23388,30,120,7,2,0,0
sony a6400 cao cap,san pham thuoc nhom camera. ten san pham sony a6400. co dac diem cao cap. nguon goc ro rang. co the giao dich truc tiep. hinh anh that. ngoai hinh dep,4.17,152,0.337,18,150,2,0,38248838,17.45962,60,60,3,3,0,1
casio gshock fullbox,san pham thuoc nhom dong ho. ten san pham casio gshock. co dac diem fullbox. co dac diem tot. ho tro kiem tra. co hoa don. hinh anh that. chat luong tot. co the giao dich truc tiep,4.85,214,0.387,20,180,2,0,39451152,17.49057,30,120,8,4,0,1
asus tuf bao hanh,san pham thuoc nhom laptop. ten san pham asus tuf. co dac diem moi. co dac diem bao hanh. co the giao dich truc tiep. chat luong tot. ho tro kiem tra. mo ta chi tiet. nguon goc ro rang,2.28,26,0.386,17,184,3,0,22182749,16.91483,90,120,15,2,0,0
apple watch fullbox,san pham thuoc nhom dong ho. ten san pham apple watch. co dac diem nguyen seal. co dac diem fullbox. ngoai hinh dep. chat luong tot,2.65,48,0.233,19,131,4,0,41834251,17.54923,240,60,20,3,0,1
dell xps 13 zin,san pham thuoc nhom laptop. ten san pham dell xps 13. co dac diem zin. co dac diem it dung. luu y loi. luu y hong. ngoai hinh dep. hinh anh that. da su dung on dinh. thong tin trung thuc,1.9,215,0.411,15,186,3,2,31017243,17.25005,30,120,4,3,0,0
galaxy buds zin,san pham thuoc nhom tai nghe. ten san pham galaxy buds. co dac diem zin. ngoai hinh dep. nguon goc ro rang. da su dung on dinh. co the giao dich truc tiep. co hoa don,3.03,225,0.061,15,166,2,0,4734875,15.37047,60,60,10,6,1,1
samsung s23 tot cu,san pham thuoc nhom dien thoai. ten san pham samsung s23. co dac diem tot. co dac diem cao cap. luu y cu. ho tro kiem tra. ngoai hinh dep. da su dung on dinh. mo ta chi tiet,4.73,222,0.085,18,173,3,1,46858327,17.66264,45,90,12,1,0,1
apple watch day du phu kien,san pham thuoc nhom dong ho. ten san pham apple watch. co dac diem day du phu kien. chat luong tot. hinh anh that. nguon goc ro rang,3.01,151,0.149,27,132,2,0,6785354,15.73028,240,60,3,4,0,1
iphone 14 pro bao hanh,san pham thuoc nhom dien thoai. ten san pham iphone 14 pro. co dac diem bao hanh. co hoa don. ho tro kiem tra. da su dung on dinh. ngoai hinh dep. hinh anh that,4.41,218,0.303,22,160,2,0,35860787,17.39516,90,45,20,5,1,1
apple watch cao cap,san pham thuoc nhom dong ho. ten san pham apple watch. co dac diem cao cap. co dac diem moi. da su dung on dinh. co the giao dich truc tiep,4.04,180,0.393,19,139,2,0,29824763,17.21085,45,120,9,0,0,1
samsung s23 like new,san pham thuoc nhom dien thoai. ten san pham samsung s23. co dac diem like new. nguon goc ro rang. thong tin trung thuc. co the giao dich truc tiep,3.44,97,0.279,20,147,1,1,16211813,16.60125,90,90,4,1,0,0
beats studio buds zin,san pham thuoc nhom tai nghe. ten san pham beats studio buds. co dac diem zin. co the giao dich truc tiep. chat luong tot. ho tro kiem tra,4.95,76,0.288,21,138,2,0,28524890,17.16629,180,45,14,6,1,1
seiko 5 nguyen seal,san pham thuoc nhom dong ho. ten san pham seiko 5. co dac diem nguyen seal. hinh anh that. da su dung on dinh. co hoa don. thong tin trung thuc,3.26,175,0.35,19,143,1,1,3341303,15.02187,120,120,15,6,1,1
sony wh-1000xm5 like new,san pham thuoc nhom tai nghe. ten san pham sony wh-1000xm5. co dac diem cao cap. co dac diem like new. co the giao dich truc tiep. hinh anh that. co hoa don,4.15,8,0.261,24,156,2,0,49197832,17.71136,45,15,9,2,0,1
thinkpad x1 nguyen seal,san pham thuoc nhom laptop. ten san pham thinkpad x1. co dac diem nguyen seal. co hoa don. chat luong tot. thong tin trung thuc,3.99,86,0.362,23,127,2,1,31479187,17.26484,30,30,7,6,1,1
casio gshock,san pham thuoc nhom dong ho. ten san pham casio gshock. ngoai hinh dep. co the giao dich truc tiep. chat luong tot. nguon goc ro rang,3.69,172,0.118,12,133,2,0,25620188,17.05889,240,120,11,0,0,1
apple watch nguyen seal,san pham thuoc nhom dong ho. ten san pham apple watch. co dac diem nguyen seal. co dac diem tot. luu y vo. luu y mo ta so sai. co hoa don. da su dung on dinh. co the giao dich truc tiep. chat luong tot. hinh anh that,4.79,77,0.448,23,216,2,2,7842713,15.8751,30,30,17,1,0,0
beats studio buds cao cap,san pham thuoc nhom tai nghe. ten san pham beats studio buds. co dac diem day du phu kien. co dac diem cao cap. luu y loi. hinh anh that. ho tro kiem tra. mo ta chi tiet. chat luong tot,2.78,60,0.385,25,185,3,1,6717575,15.72024,180,45,17,5,1,0
casio gshock zin,san pham thuoc nhom dong ho. ten san pham casio gshock. co dac diem zin. thong tin trung thuc. hinh anh that. ngoai hinh dep,4.15,62,0.445,16,124,2,1,37938186,17.45147,45,15,17,1,0,0
dell xps 13 tot,san pham thuoc nhom laptop. ten san pham dell xps 13. co dac diem tot. co dac diem chinh hang. luu y mat phu kien. nguon goc ro rang. co the giao dich truc tiep. hinh anh that. ngoai hinh dep,1.06,202,0.355,15,191,3,1,39567250,17.49351,60,15,5,2,0,0
apple watch nguyen seal,san pham thuoc nhom dong ho. ten san pham apple watch. co dac diem nguyen seal. co dac diem dep. ngoai hinh dep. mo ta chi tiet. hinh anh that. ho tro kiem tra. da su dung on dinh,3.09,117,0.29,23,179,2,0,2140484,14.57654,30,60,12,3,0,1
seiko 5,san pham thuoc nhom dong ho. ten san pham seiko 5. co the giao dich truc tiep. nguon goc ro rang. co hoa don,3.5,149,0.247,7,108,0,0,21872825,16.90076,90,90,16,2,0,0
fujifilm xt30,san pham thuoc nhom camera. ten san pham fujifilm xt30. luu y mo ta so sai. da su dung on dinh. chat luong tot. mo ta chi tiet,2.66,211,0.204,13,126,1,1,27966592,17.14652,180,15,10,3,0,0
galaxy buds zin,san pham thuoc nhom tai nghe. ten san pham galaxy buds. co dac diem zin. co dac diem fullbox. co dac diem cao cap. da su dung on dinh. co the giao dich truc tiep,3.98,95,0.365,15,161,3,0,37387408,17.43684,30,90,17,4,0,1
xiaomi 13 day du phu kien,san pham thuoc nhom dien thoai. ten san pham xiaomi 13. co dac diem day du phu kien. thong tin trung thuc. co hoa don. ho tro kiem tra. hinh anh that,3.31,54,0.07,25,149,1,1,32409182,17.29395,45,15,11,6,1,0
samsung s23 dep,san pham thuoc nhom dien thoai. ten san pham samsung s23. co dac diem dep. co dac diem tot. luu y gap. hinh anh that. nguon goc ro rang. co hoa don. ho tro kiem tra,4.05,235,0.153,15,164,2,1,459752,13.03844,45,30,18,5,1,1
macbook air m1,san pham thuoc nhom laptop. ten san pham macbook air m1. da su dung on dinh. chat luong tot. ho tro kiem tra. co the giao dich truc tiep. nguon goc ro rang,2.25,83,0.35,14,155,1,0,38140558,17.45679,120,15,1,1,0,0
canon eos day du phu kien,san pham thuoc nhom camera. ten san pham canon eos. co dac diem cao cap. co dac diem day du phu kien. da su dung on dinh. co hoa don. mo ta chi tiet. thong tin trung thuc. ngoai hinh dep,1.46,110,0.05,25,186,3,1,45564432,17.63464,180,90,15,4,0,0
iphone 14 pro chinh hang,san pham thuoc nhom dien thoai. ten san pham iphone 14 pro. co dac diem chinh hang. mo ta chi tiet. nguon goc ro rang. co hoa don. ngoai hinh dep,2.31,1,0.224,24,145,2,0,28950768,17.18111,45,30,12,4,0,0
nikon d750 hong,san pham thuoc nhom camera. ten san pham nikon d750. luu y hong. ho tro kiem tra. da su dung on dinh,3.29,181,0.288,15,100,0,1,19479036,16.78485,30,60,0,2,0,0
fujifilm xt30 day du phu kien,san pham thuoc nhom camera. ten san pham fujifilm xt30. co dac diem fullbox. co dac diem day du phu kien. co dac diem it dung. luu y vo. da su dung on dinh. co hoa don,3.98,56,0.15,29,167,3,1,11333195,16.24325,30,90,20,0,0,1
dell xps 13 cao cap xuoc,san pham thuoc nhom laptop. ten san pham dell xps 13. co dac diem cao cap. luu y xuoc. luu y vo. thong tin trung thuc. nguon goc ro rang. co the giao dich truc tiep,1.71,197,0.283,24,164,1,3,31185363,17.25546,240,90,18,3,0,0
nikon d750 zin,san pham thuoc nhom camera. ten san pham nikon d750. co dac diem bao hanh. co dac diem zin. co dac diem fullbox. co hoa don. thong tin trung thuc. hinh anh that. nguon goc ro rang. ngoai hinh dep,1.3,118,0.203,14,195,4,1,3867826,15.1682,60,45,2,5,1,1
oppo find x5 tot,san pham thuoc nhom dien thoai. ten san pham oppo find x5. co dac diem tot. co dac diem dep. thong tin trung thuc. mo ta chi tiet. ho tro kiem tra. co hoa don. ngoai hinh dep,3.01,245,0.028,16,174,2,1,6995893,15.76083,240,45,22,0,0,1
macbook air m1 zin,san pham thuoc nhom laptop. ten san pham macbook air m1. co dac diem zin. ho tro kiem tra. co hoa don. da su dung on dinh. mo ta chi tiet,4.1,173,0.269,18,137,1,0,42388081,17.56238,180,45,2,2,0,1
casio gshock tot xuoc,san pham thuoc nhom dong ho. ten san pham casio gshock. co dac diem tot. luu y xuoc. co hoa don. da su dung on dinh. nguon goc ro rang. thong tin trung thuc,3.84,21,0.139,21,156,1,2,25328520,17.04744,180,45,4,5,1,0
canon eos chinh hang,san pham thuoc nhom camera. ten san pham canon eos. co dac diem nguyen seal. co dac diem chinh hang. nguon goc ro rang. mo ta chi tiet. ho tro kiem tra. da su dung on dinh,2.95,57,0.45,20,171,2,0,10448194,16.16194,30,45,3,4,0,1
canon eos bao hanh gap,san pham thuoc nhom camera. ten san pham canon eos. co dac diem tot. co dac diem bao hanh. luu y gap. chat luong tot. hinh anh that. da su dung on dinh,2.46,184,0.107,22,151,2,1,29859670,17.21202,120,45,23,6,1,1
sony a6400 zin,san pham thuoc nhom camera. ten san pham sony a6400. co dac diem zin. luu y vo. chat luong tot. co hoa don. da su dung on dinh. ngoai hinh dep. thong tin trung thuc,2.67,41,0.368,14,164,3,2,40628277,17.51997,45,45,1,5,1,0
airpods pro fullbox,san pham thuoc nhom tai nghe. ten san pham airpods pro. co dac diem fullbox. co dac diem moi. co hoa don. chat luong tot. nguon goc ro rang,4.32,23,0.426,19,139,3,0,14950718,16.52027,240,60,11,0,0,1
casio gshock nguyen seal,san pham thuoc nhom dong ho. ten san pham casio gshock. co dac diem nguyen seal. luu y vo. luu y hong. nguon goc ro rang. thong tin trung thuc. hinh anh that. ngoai hinh dep,4.67,120,0.313,24,173,2,2,9364219,16.05241,240,120,15,3,0,1
iphone 13 dep khong ro,san pham thuoc nhom dien thoai. ten san pham iphone 13. co dac diem dep. luu y khong ro. co hoa don. co the giao dich truc tiep. hinh anh that,1.95,163,0.357,22,142,1,2,30726375,17.24063,30,15,15,4,0,0
sony a6400 tot,san pham thuoc nhom camera. ten san pham sony a6400. co dac diem chinh hang. co dac diem tot. thong tin trung thuc. da su dung on dinh. nguon goc ro rang,3.66,21,0.236,14,153,2,1,24249708,17.00392,30,90,17,4,0,1
canon eos cao cap,san pham thuoc nhom camera. ten san pham canon eos. co dac diem cao cap. co hoa don. hinh anh that. ho tro kiem tra. da su dung on dinh,1.27,61,0.33,17,135,1,0,42211611,17.55821,30,90,23,6,1,0
samsung s23 cao cap,san pham thuoc nhom dien thoai. ten san pham samsung s23. co dac diem bao hanh. co dac diem cao cap. luu y cu. co the giao dich truc tiep. chat luong tot. hinh anh that,2.17,11,0.356,19,168,3,1,2862260,14.86712,60,45,16,3,0,0
fujifilm xt30 like new,san pham thuoc nhom camera. ten san pham fujifilm xt30. co dac diem like new. luu y mat phu kien. ho tro kiem tra. co hoa don,1.5,94,0.197,22,125,1,1,26895006,17.10745,180,60,12,2,0,0
seiko 5 moi loi,san pham thuoc nhom dong ho. ten san pham seiko 5. co dac diem moi. luu y loi. ho tro kiem tra. co the giao dich truc tiep. ngoai hinh dep. nguon goc ro rang,3.64,78,0.201,15,157,2,1,48211542,17.69111,90,30,22,3,0,1
samsung s23 cao cap,san pham thuoc nhom dien thoai. ten san pham samsung s23. co dac diem cao cap. co dac diem chinh hang. ho tro kiem tra. ngoai hinh dep. nguon goc ro rang. hinh anh that. co the giao dich truc tiep,4.39,173,0.352,19,196,3,0,2385319,14.68484,45,15,7,6,1,1
beats studio buds cao cap,san pham thuoc nhom tai nghe. ten san pham beats studio buds. co dac diem bao hanh. co dac diem cao cap. co dac diem zin. chat luong tot. co the giao dich truc tiep. nguon goc ro rang. co hoa don,2.47,80,0.292,25,195,4,0,16801154,16.63696,30,15,23,1,0,1
apple watch zin,san pham thuoc nhom dong ho. ten san pham apple watch. co dac diem zin. chat luong tot. mo ta chi tiet. co the giao dich truc tiep. thong tin trung thuc,4.41,115,0.078,15,152,2,1,47923443,17.68512,90,15,21,6,1,1
airpods pro moi,san pham thuoc nhom tai nghe. ten san pham airpods pro. co dac diem moi. co dac diem bao hanh. ngoai hinh dep. mo ta chi tiet. co the giao dich truc tiep. chat luong tot,4.17,60,0.356,15,169,4,0,1813891,14.41099,60,90,18,2,0,1
sony a6400 day du phu kien,san pham thuoc nhom camera. ten san pham sony a6400. co dac diem moi. co dac diem day du phu kien. da su dung on dinh. co the giao dich truc tiep. nguon goc ro rang. chat luong tot. ho tro kiem tra,1.3,119,0.306,26,197,3,0,23169995,16.95837,45,90,20,4,0,0
asus tuf dep xuoc,san pham thuoc nhom laptop. ten san pham asus tuf. co dac diem fullbox. co dac diem dep. luu y xuoc. ho tro kiem tra. ngoai hinh dep. co hoa don,4.38,64,0.088,17,144,2,1,37016341,17.42687,60,30,20,2,0,1
oppo find x5 tot,san pham thuoc nhom dien thoai. ten san pham oppo find x5. co dac diem tot. co dac diem bao hanh. thong tin trung thuc. hinh anh that. ngoai hinh dep. chat luong tot,1.18,164,0.347,16,165,3,1,17810757,16.69531,180,30,18,3,0,0
xiaomi 13 cao cap,san pham thuoc nhom dien thoai. ten san pham xiaomi 13. co dac diem cao cap. co dac diem moi. co dac diem zin. co hoa don. chat luong tot. co the giao dich truc tiep. ho tro kiem tra. hinh anh that,1.63,106,0.218,17,197,4,0,13741752,16.43595,60,90,4,2,0,1
galaxy buds nguyen seal,san pham thuoc nhom tai nghe. ten san pham galaxy buds. co dac diem nguyen seal. co dac diem dep. co dac diem cao cap. mo ta chi tiet. chat luong tot. co the giao dich truc tiep. nguon goc ro rang,2.8,36,0.044,23,196,4,0,19525797,16.78725,90,90,13,1,0,1
dell xps 13 bao hanh,san pham thuoc nhom laptop. ten san pham dell xps 13. co dac diem like new. co dac diem bao hanh. co dac diem zin. luu y test. chat luong tot. hinh anh that. co the giao dich truc tiep. mo ta chi tiet,3.02,247,0.108,20,200,4,1,39197560,17.48413,60,15,1,2,0,1
casio gshock bao hanh,san pham thuoc nhom dong ho. ten san pham casio gshock. co dac diem day du phu kien. co dac diem bao hanh. luu y mat phu kien. hinh anh that. da su dung on dinh. thong tin trung thuc. co hoa don,3.25,92,0.249,21,194,2,2,4984632,15.42187,90,90,14,6,1,0
canon eos nguyen seal,san pham thuoc nhom camera. ten san pham canon eos. co dac diem nguyen seal. nguon goc ro rang. mo ta chi tiet. da su dung on dinh. co hoa don,1.16,9,0.062,21,142,1,0,22399983,16.92457,240,60,16,3,0,0
sony a6400 bao hanh,san pham thuoc nhom camera. ten san pham sony a6400. co dac diem bao hanh. thong tin trung thuc. ho tro kiem tra. chat luong tot. ngoai hinh dep,3.25,121,0.367,19,144,3,1,24770074,17.02515,60,120,3,3,0,1
oppo find x5 it dung hong,san pham thuoc nhom dien thoai. ten san pham oppo find x5. co dac diem tot. co dac diem it dung. luu y vo. luu y hong. mo ta chi tiet. hinh anh that. co the giao dich truc tiep,1.76,112,0.141,25,176,2,2,10212379,16.13911,90,120,6,3,0,0
fujifilm xt30 dep vo,san pham thuoc nhom camera. ten san pham fujifilm xt30. co dac diem chinh hang. co dac diem bao hanh. co dac diem dep. luu y vo. ho tro kiem tra. nguon goc ro rang. chat luong tot. co hoa don. ngoai hinh dep,3.19,173,0.347,20,207,4,1,48430428,17.69564,180,120,22,2,0,1
thinkpad x1 moi,san pham thuoc nhom laptop. ten san pham thinkpad x1. co dac diem moi. chat luong tot. ho tro kiem tra. thong tin trung thuc,2.4,239,0.421,15,124,2,1,48480076,17.69666,60,45,3,4,0,0
seiko 5 moi,san pham thuoc nhom dong ho. ten san pham seiko 5. co dac diem bao hanh. co dac diem moi. co dac diem chinh hang. luu y mat phu kien. luu y loi. chat luong tot. mo ta chi tiet. ngoai hinh dep. da su dung on dinh,3.15,238,0.253,11,211,5,2,18278208,16.72122,45,15,19,5,1,1
macbook air m1 cao cap,san pham thuoc nhom laptop. ten san pham macbook air m1. co dac diem cao cap. co dac diem like new. da su dung on dinh. ho tro kiem tra,3.87,25,0.307,22,135,2,0,9275256,16.04286,30,90,5,3,0,1
seiko 5 moi,san pham thuoc nhom dong ho. ten san pham seiko 5. co dac diem moi. co dac diem nguyen seal. luu y mat phu kien. thong tin trung thuc. mo ta chi tiet,3.14,185,0.383,11,149,2,2,2553042,14.7528,45,60,5,0,0,0
